Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,315.0,315.0,310.0,315.0,280.0035705566406,4610
2002-07-02,320.0,325.0,316.1099853515625,319.1199951171875,283.6658630371094,3620
2002-07-03,316.0,316.0,312.5,315.0199890136719,280.0213623046875,520
2002-07-04,318.0,318.0,310.0,310.0,275.5590515136719,2270
2002-07-05,310.0,317.5,310.0,315.8800048828125,280.78582763671875,6020
2002-07-08,317.5,325.0,317.0,320.7799987792969,285.1414489746094,4140
2002-07-09,327.8999938964844,329.0,310.0,316.17999267578125,281.0525207519531,2810
2002-07-10,324.8999938964844,325.0,312.5,312.5,277.78131103515625,1940
2002-07-11,311.5,317.5,310.0,311.0,276.4479675292969,440
2002-07-12,315.0,320.0,314.0,315.0299987792969,280.0302429199219,8990
2002-07-15,317.3999938964844,317.5,314.70001220703125,315.0,280.0035705566406,15300
2002-07-16,319.8999938964844,320.0,315.0,315.0,280.0035705566406,4010
2002-07-17,311.010009765625,315.0,300.0,308.6600036621094,274.3680114746094,2560
2002-07-18,312.29998779296875,312.29998779296875,300.0,303.2799987792969,269.585693359375,500
2002-07-19,315.0,315.0,303.0,313.0,278.22576904296875,120
2002-07-22,310.0299987792969,310.0299987792969,305.0,305.0,271.1145324707031,5270
2002-07-23,306.1000061035156,306.1000061035156,305.6099853515625,305.6099853515625,271.6568298339844,70
2002-07-24,306.0,306.0,305.0,306.0,272.0034484863281,300
2002-07-25,306.0,306.0,306.0,306.0,272.0034484863281,0
2002-07-26,300.0,305.0,300.0,301.29998779296875,267.82568359375,3590
2002-07-29,300.1000061035156,302.0,300.04998779296875,300.0899963378906,266.7500915527344,1680
2002-07-30,300.0,313.0,300.0,307.44000244140625,273.2835998535156,4070
2002-07-31,300.5,306.0,300.010009765625,300.010009765625,266.67889404296875,5560
2002-08-01,301.5,301.8999938964844,297.6000061035156,297.6000061035156,264.5367736816406,3360
2002-08-02,304.79998779296875,304.79998779296875,297.8999938964844,299.29998779296875,266.04791259765625,200
2002-08-05,300.0,300.5,300.0,300.0,266.6700439453125,980
2002-08-06,301.0,301.0,301.0,301.0,267.55889892578125,100
2002-08-07,298.0,302.0,293.1000061035156,300.0,266.6700439453125,790
2002-08-08,300.0,300.0,300.0,300.0,266.6700439453125,240
2002-08-09,295.5,298.0,295.5,296.79998779296875,263.8255920410156,400
2002-08-12,297.5,301.8999938964844,297.5,299.8999938964844,266.5811767578125,270
2002-08-13,295.5,295.5,295.5,295.5,262.6700439453125,50
2002-08-14,297.5,297.79998779296875,297.5,297.79998779296875,264.7144470214844,790
2002-08-15,297.79998779296875,297.79998779296875,297.79998779296875,297.79998779296875,264.7144470214844,0
2002-08-16,298.0,302.0,298.0,302.0,268.4478454589844,250
2002-08-19,301.5,302.5,301.5,302.5,268.8923645019531,90
2002-08-20,304.95001220703125,305.0,302.5,305.0,271.1145324707031,610
2002-08-21,308.8999938964844,310.7799987792969,303.0,307.70001220703125,273.51458740234375,430
2002-08-22,301.1000061035156,302.5,300.5,302.29998779296875,268.714599609375,130
2002-08-23,305.0,305.0,305.0,305.0,271.1145324707031,50
